,Quarter,Time,Tm,Detail,LAR,SFO
0,1.0,11:15,Rams,Brandin Cooks 10 yard pass from Jared Goff (Greg Zuerlein kick),7,0
1,1.0,8:39,49ers,Robbie Gould 26 yard field goal,7,3
2,2.0,15:00,Rams,Todd Gurley 5 yard rush (Greg Zuerlein kick),14,3
3,2.0,12:14,49ers,Deebo Samuel 19 yard rush (Robbie Gould kick),14,10
4,2.0,6:50,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),21,10
5,2.0,2:26,49ers,Raheem Mostert 16 yard rush (Robbie Gould kick),21,17
6,2.0,0:56,49ers,Fred Warner 46 yard interception return (Robbie Gould kick),21,24
7,3.0,5:12,Rams,Cooper Kupp 22 yard pass from Jared Goff (Greg Zuerlein kick),28,24
8,4.0,6:14,49ers,George Kittle 7 yard pass from Jimmy Garoppolo (Robbie Gould kick),28,31
9,4.0,2:36,Rams,Greg Zuerlein 52 yard field goal,31,31
10,4.0,0:03,49ers,Robbie Gould 33 yard field goal,31,34
