,Quarter,Tm,Detail,MIA,NWE
0,1,Patriots,Stanley Morgan 76 yard pass from Steve Grogan (John Smith kick),0,7
1,2,Patriots,John Smith 27 yard field goal,0,10
2,2,Dolphins,Uwe von Schamann 24 yard field goal,3,10
3,2,Patriots,Steve Grogan 4 yard rush (John Smith kick),3,17
4,2,Dolphins,Uwe von Schamann 26 yard field goal,6,17
5,3,Dolphins,Tommy Vigorito 30 yard rush (Uwe von Schamann kick),13,17
6,3,Dolphins,Tony Nathan 1 yard rush (Uwe von Schamann kick),20,17
7,4,Patriots,Tony Collins 1 yard rush (John Smith kick),20,24
8,4,Dolphins,David Woodley 2 yard rush (Uwe von Schamann kick),27,24
9,4,Patriots,John Smith 34 yard field goal,27,27
10,OT,Dolphins,Uwe von Schamann 30 yard field goal,30,27
