,Quarter,Tm,Detail,PIT,KAN
0,1.0,Steelers,Reggie Harrison 4 yard rush (Roy Gerela kick),7,0
1,2.0,Steelers,Roy Gerela 28 yard field goal,10,0
2,3.0,Steelers,Franco Harris 25 yard rush (Roy Gerela kick),17,0
3,3.0,Steelers,Franco Harris 5 yard rush (Roy Gerela kick),24,0
4,3.0,Steelers,Frank Lewis 19 yard pass from Terry Bradshaw (Roy Gerela kick),31,0
5,4.0,Steelers,Jack Deloplaine 15 yard rush (Roy Gerela kick),38,0
6,4.0,Steelers,Jack Deloplaine 7 yard rush (Roy Gerela kick),45,0
