,Quarter,Tm,Detail,NWE,PHO
0,2.0,Cardinals,Ernie Jones 17 yard pass from Tom Tupa (Greg Davis kick),0,7
1,2.0,Patriots,Jon Vaughn 99 yard kickoff return (Jason Staurovsky kick),7,7
2,2.0,Cardinals,Johnny Johnson 15 yard pass from Tom Tupa (Greg Davis kick),7,14
3,4.0,Patriots,Jason Staurovsky 39 yard field goal,10,14
4,4.0,Cardinals,Ricky Proehl 62 yard pass from Tom Tupa (Greg Davis kick),10,21
5,4.0,Cardinals,Greg Davis 47 yard field goal,10,24
