,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Ace Gutowsky 2 yard rush (Glenn Presnell kick),0,7
1,1.0,Lions,Dutch Clark 40 yard rush,0,13
2,2.0,Giants,Ken Strong 42 yard pass from Ed Danowski (Ken Strong kick),7,13
3,4.0,Lions,Ernie Caddel 4 yard rush (Dutch Clark kick),7,20
4,4.0,Lions,Buddy Parker 4 yard rush,7,26
