,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,,Packers,Edgar Bennett 13 yard rush (Chris Jacke kick),7,0
1,1.0,,Vikings,Andrew Jordan 3 yard pass from Warren Moon (Fuad Reveiz kick),7,7
2,1.0,,Vikings,Fuad Reveiz 36 yard field goal,7,10
3,2.0,,Packers,Chris Jacke 42 yard field goal,10,10
4,2.0,,Packers,Chris Jacke 50 yard field goal,13,10
5,2.0,,Packers,Chris Jacke 46 yard field goal,16,10
6,3.0,,Vikings,Cris Carter 5 yard pass from Warren Moon (Fuad Reveiz kick),16,17
7,3.0,,Vikings,Jake Reed 9 yard pass from Warren Moon (Fuad Reveiz kick),16,24
8,4.0,,Packers,Mark Chmura 2 yard pass from Ty Detmer (Mark Chmura pass from Ty Detmer ),24,24
9,4.0,,Vikings,Fuad Reveiz 39 yard field goal,24,27
