,Quarter,Tm,Detail,BUF,DET
0,2.0,Lions,David Hill 21 yard pass from Greg Landry (Benny Ricardo kick),0,7
1,2.0,Lions,Benny Ricardo 22 yard field goal,0,10
2,3.0,Lions,Benny Ricardo 35 yard field goal,0,13
3,3.0,Lions,David Hill 24 yard pass from Greg Landry (Benny Ricardo kick),0,20
4,3.0,Bills,O.J. Simpson 48 yard rush (George Jakowenko kick),7,20
5,4.0,Lions,Dexter Bussey 4 yard rush (Benny Ricardo kick),7,27
6,4.0,Bills,O.J. Simpson 12 yard rush (George Jakowenko kick),14,27
