,Quarter,Time,Tm,Detail,JAX,MIA
0,1.0,9:49,Dolphins,Brandon Bolden 4 yard pass from Ryan Tannehill (Jason Sanders kick),0,7
1,1.0,2:29,Jaguars,Leonard Fournette 1 yard rush (Kai Forbath kick),7,7
2,4.0,10:56,Jaguars,Kai Forbath 26 yard field goal,10,7
3,4.0,9:34,Jaguars,Telvin Smith 33 yard interception return (Kai Forbath kick),17,7
