,Quarter,Tm,Detail,SFO,NYY
0,1.0,49ers,Johnny Strzykalski 8 yard rush (Gordie Soltau kick),7,0
1,2.0,49ers,Gordie Soltau 21 yard field goal,10,0
2,4.0,Yanks,Sherman Howard 11 yard rush (Harvey Johnson kick),10,7
3,4.0,Yanks,Harvey Johnson 23 yard field goal,10,10
