,Quarter,Tm,Detail,PHI,BAL
0,1.0,Colts,John Mackey 14 yard pass from Johnny Unitas (Jim O'Brien kick),0,7
1,1.0,Colts,Eddie Hinton 9 yard rush,0,13
2,2.0,Colts,Jim O'Brien 45 yard field goal,0,16
3,2.0,Eagles,Mark Moseley 38 yard field goal,3,16
4,2.0,Colts,Jerry Logan 33 yard interception return (Jim O'Brien kick),3,23
5,3.0,Colts,Jim O'Brien 44 yard field goal,3,26
6,3.0,Eagles,Norm Snead 1 yard rush (Mark Moseley kick),10,26
7,4.0,Colts,Jim O'Brien 47 yard field goal,10,29
