,Quarter,Tm,Detail,PIT,KAN
0,1.0,Steelers,Roy Gerela 32 yard field goal,3,0
1,1.0,Steelers,Roy Gerela 40 yard field goal,6,0
2,1.0,Steelers,Roy Gerela 35 yard field goal,9,0
3,2.0,Chiefs,Otis Taylor 5 yard pass from Len Dawson (Jan Stenerud kick),9,7
4,2.0,Chiefs,Otis Taylor 27 yard pass from Len Dawson (Jan Stenerud kick),9,14
5,2.0,Chiefs,Elmo Wright 5 yard pass from Len Dawson (Jan Stenerud kick),9,21
6,2.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),9,28
7,4.0,Chiefs,Jan Stenerud 11 yard field goal,9,31
8,4.0,Steelers,John Fuqua 1 yard rush (Roy Gerela kick),16,31
9,4.0,Chiefs,Emmitt Thomas 32 yard interception return (Jan Stenerud kick),16,38
