,Quarter,Tm,Detail,CIN,PIT
0,2.0,Bengals,Eric Crabtree 2 yard pass from Virgil Carter (Horst Muhlmann kick),7,0
1,2.0,Steelers,Dennis Hughes 27 yard pass from Dick Hoak (Gene Mingo kick),7,7
2,3.0,Bengals,Horst Muhlmann 43 yard field goal,10,7
3,4.0,Steelers,Dennis Hughes 72 yard pass from Terry Hanratty (Gene Mingo kick),10,14
4,4.0,Steelers,Warren Bankston 2 yard rush (Gene Mingo kick),10,21
