,Quarter,Tm,Detail,KAN,PIT
0,1.0,Steelers,Gary Anderson 23 yard field goal,0,3
1,1.0,Steelers,Gary Anderson 20 yard field goal,0,6
2,2.0,Chiefs,Stephone Paige 4 yard pass from Steve DeBerg (Nick Lowery kick),7,6
3,2.0,Steelers,Merril Hoge 10 yard rush (Gary Anderson kick),7,13
4,3.0,Steelers,Gary Anderson 22 yard field goal,7,16
5,4.0,Chiefs,Nick Lowery 26 yard field goal,10,16
