,Quarter,Tm,Detail,MIA,WAS
0,1.0,Redskins,Earnest Byner 2 yard rush (Chip Lohmiller kick),0,7
1,2.0,Redskins,Art Monk 6 yard pass from Mark Rypien (Chip Lohmiller kick),0,14
2,2.0,Redskins,Earnest Byner 7 yard rush (Chip Lohmiller kick),0,21
3,2.0,Dolphins,Pete Stoyanovich 21 yard field goal,3,21
4,3.0,Dolphins,Pete Stoyanovich 44 yard field goal,6,21
5,3.0,Redskins,Jimmie Johnson 3 yard pass from Mark Rypien (Chip Lohmiller kick),6,28
6,3.0,Redskins,Earnest Byner 13 yard rush (Chip Lohmiller kick),6,35
7,4.0,Dolphins,James Pruitt 24 yard pass from Dan Marino (Pete Stoyanovich kick),13,35
8,4.0,Dolphins,Jarvis Williams 42 yard interception return (Pete Stoyanovich kick),20,35
9,4.0,Redskins,Art Monk 7 yard pass from Mark Rypien (Chip Lohmiller kick),20,42
