,Quarter,Time,Tm,Detail,SDG,MIA
0,1.0,1:40,Dolphins,Charles Clay 6 yard pass from Ryan Tannehill (Caleb Sturgis kick),0,7
1,2.0,11:08,Dolphins,Lamar Miller 2 yard rush (Caleb Sturgis kick),0,14
2,2.0,8:53,Dolphins,Caleb Sturgis 26 yard field goal,0,17
3,2.0,1:52,Dolphins,Caleb Sturgis 25 yard field goal,0,20
4,3.0,11:02,Dolphins,Rishard Matthews 21 yard pass from Ryan Tannehill (Caleb Sturgis kick),0,27
5,3.0,7:04,Dolphins,Caleb Sturgis 23 yard field goal,0,30
6,3.0,2:00,Dolphins,Jarvis Landry 14 yard pass from Ryan Tannehill (Caleb Sturgis kick),0,37
