,Quarter,Time,Tm,Detail,PIT,NWE
0,1.0,5:45,Steelers,Jeff Reed 23 yard field goal,3,0
1,1.0,1:05,Patriots,Randy Moss 4 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2,2.0,14:06,Patriots,Randy Moss 63 yard pass from Tom Brady (Stephen Gostkowski kick),3,14
3,2.0,11:31,Steelers,Najeh Davenport 32 yard pass from Ben Roethlisberger (Jeff Reed kick),10,14
4,2.0,2:29,Steelers,Jeff Reed 44 yard field goal,13,14
5,2.0,0:42,Patriots,Stephen Gostkowski 42 yard field goal,13,17
6,3.0,10:06,Patriots,Jabar Gaffney 56 yard pass from Tom Brady (Stephen Gostkowski kick),13,24
7,3.0,3:49,Patriots,Wes Welker 2 yard pass from Tom Brady (Stephen Gostkowski kick),13,31
8,4.0,7:00,Patriots,Stephen Gostkowski 28 yard field goal,13,34
