,Quarter,Tm,Detail,BUF,HOU
0,1.0,Oilers,Haywood Jeffires 37 yard pass from Warren Moon (Teddy Garcia kick),0,7
1,1.0,Bills,Pete Metzelaars 1 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Oilers,Teddy Garcia 25 yard field goal,7,10
3,2.0,Oilers,Teddy Garcia 36 yard field goal,7,13
4,2.0,Bills,Keith McKeller 12 yard pass from Jim Kelly (Scott Norwood kick),14,13
5,3.0,Bills,Scott Norwood 43 yard field goal,17,13
6,3.0,Oilers,Lorenzo White 1 yard rush (Teddy Garcia kick),17,20
7,4.0,Oilers,Leonard Harris 3 yard pass from Warren Moon (Teddy Garcia kick),17,27
8,4.0,Bills,Thurman Thomas 2 yard rush (Scott Norwood kick),24,27
