,Quarter,Time,Tm,Detail,TAM,IND
0,1.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),7,0
1,1.0,,Colts,Cary Blanchard 43 yard field goal,7,3
2,2.0,,Colts,Marshall Faulk 4 yard rush (Cary Blanchard kick),7,10
3,2.0,,Buccaneers,Dave Moore 3 yard pass from Trent Dilfer (Michael Husted kick),14,10
4,2.0,,Buccaneers,Karl Williams 6 yard pass from Trent Dilfer (Michael Husted kick),21,10
5,3.0,,Colts,Cary Blanchard 36 yard field goal,21,13
6,3.0,,Colts,Lamont Warren 1 yard rush (Marcus Pollard pass from Kelly Holcomb),21,21
7,4.0,,Colts,Robert Blackmon 18 yard defensive fumble return (Cary Blanchard kick),21,28
8,4.0,,Buccaneers,Karl Williams 24 yard pass from Trent Dilfer (Michael Husted kick),28,28
9,4.0,,Buccaneers,Michael Husted 36 yard field goal,31,28
