,Quarter,Time,Tm,Detail,TAM,OAK
0,1.0,0:45,Raiders,Sebastian Janikowski 29 yard field goal,0,3
1,2.0,12:54,Buccaneers,Vincent Jackson 20 yard pass from Josh Freeman (Connor Barth kick),7,3
2,2.0,1:20,Raiders,Rod Streater 25 yard pass from Carson Palmer (Sebastian Janikowski kick),7,10
3,3.0,12:09,Buccaneers,Doug Martin 45 yard rush (Connor Barth kick),14,10
4,3.0,7:12,Buccaneers,Mike Williams 4 yard pass from Josh Freeman (Connor Barth kick),21,10
5,3.0,2:15,Buccaneers,Doug Martin 67 yard rush (Connor Barth kick),28,10
6,4.0,14:11,Raiders,Brandon Myers 4 yard pass from Carson Palmer (Sebastian Janikowski kick),28,17
7,4.0,13:51,Buccaneers,Doug Martin 70 yard rush (Connor Barth kick),35,17
8,4.0,9:48,Raiders,Brandon Myers 1 yard pass from Carson Palmer (Sebastian Janikowski kick),35,24
9,4.0,3:51,Raiders,Marcel Reece 13 yard pass from Carson Palmer (Juron Criner pass from Carson Palmer),35,32
10,4.0,1:49,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),42,32
