,Quarter,Time,Tm,Detail,SDG,CIN
0,1.0,8:48,Chargers,Steve Christie 28 yard field goal,3,0
1,1.0,1:18,Chargers,Josh Norman 1 yard pass from Drew Brees (Steve Christie kick),10,0
2,2.0,13:14,Chargers,Steve Christie 27 yard field goal,13,0
3,2.0,0:19,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),20,0
4,3.0,11:17,Bengals,Neil Rackers 21 yard field goal,20,3
5,3.0,8:42,Chargers,Curtis Conway 9 yard pass from Drew Brees (Steve Christie kick),27,3
6,4.0,9:14,Chargers,Terrell Fletcher 1 yard rush (Steve Christie kick),34,3
7,4.0,5:43,Bengals,Neil Rackers 54 yard field goal,34,6
