,Quarter,Tm,Detail,LOU,GNB
0,3,Packers,Verne Lewellen unknown yard pass from Pid Purdy (Pid Purdy kick),0,7
1,4,Packers,Verne Lewellen unknown yard rush (Pid Purdy kick),0,14
