,Quarter,Tm,Detail,MIA,BUF
0,2.0,Bills,James Lofton 7 yard pass from Frank Reich (Scott Norwood kick),0,7
1,3.0,Bills,Andre Reed 11 yard pass from Frank Reich (Scott Norwood kick),0,14
2,3.0,Dolphins,Mark Duper 30 yard pass from Dan Marino (Pete Stoyanovich kick),7,14
3,3.0,Bills,Scott Norwood 21 yard field goal,7,17
4,4.0,Bills,Thurman Thomas 13 yard rush (Scott Norwood kick),7,24
5,4.0,Dolphins,Mark Clayton 11 yard pass from Dan Marino (Pete Stoyanovich kick),14,24
