,Quarter,Tm,Detail,NWE,DEN
0,1.0,Broncos,Rich Karlis 27 yard field goal,0,3
1,2.0,Patriots,Stanley Morgan 19 yard pass from Tony Eason (Tony Franklin kick),7,3
2,2.0,Broncos,John Elway 22 yard rush (Rich Karlis kick),7,10
3,2.0,Patriots,Tony Franklin 38 yard field goal,10,10
4,3.0,Broncos,Rich Karlis 22 yard field goal,10,13
5,3.0,Patriots,Stanley Morgan 45 yard pass from Tony Eason (Tony Franklin kick),17,13
6,3.0,Broncos,Vance Johnson 48 yard pass from John Elway (Rich Karlis kick),17,20
7,4.0,Broncos,"Safety, Jones tackled Eason in end zone",17,22
