,Quarter,Time,Tm,Detail,CIN,CLE
0,1,0:35,Bengals,Chad Johnson 5 yard pass from Carson Palmer (Shayne Graham kick),7,0
1,2,14:10,Bengals,Robert Geathers 75 yard defensive fumble return (Shayne Graham kick),14,0
2,2,1:26,Browns,Steve Heiden 1 yard pass from Derek Anderson (Billy Cundiff kick),14,7
3,3,1:37,Browns,Derek Anderson 1 yard rush (Billy Cundiff kick),14,14
4,4,14:58,Browns,Billy Cundiff 26 yard field goal,14,17
5,4,6:34,Browns,Billy Cundiff 31 yard field goal,14,20
6,4,1:55,Bengals,Chad Johnson 2 yard pass from Carson Palmer (Shayne Graham kick failed),20,20
7,OT,0:04,Bengals,Shayne Graham 31 yard field goal,23,20
