,Quarter,Tm,Detail,PIT,CIN
0,1,Bengals,Jim Breech 29 yard field goal,0,3
1,1,Bengals,Ickey Woods 4 yard rush (Jim Breech kick),0,10
2,2,Steelers,Gary Anderson 44 yard field goal,3,10
3,2,Bengals,Rodney Holman 18 yard pass from Boomer Esiason (Jim Breech kick),3,17
4,2,Steelers,Gary Anderson 46 yard field goal,6,17
5,3,Steelers,Jerrol Williams 38 yard defensive fumble return (Gary Anderson kick),13,17
6,4,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),13,24
7,4,Steelers,Ernie Mills 35 yard pass from Neil O'Donnell (Gary Anderson kick),20,24
8,4,Steelers,Louis Lipps 12 yard pass from Neil O'Donnell (Gary Anderson kick),27,24
9,4,Bengals,Jim Breech 47 yard field goal,27,27
10,OT,Steelers,Eric Green 26 yard pass from Neil O'Donnell,33,27
