,Quarter,Tm,Detail,GNB,NOR
0,1.0,Packers,Barty Smith 2 yard rush (Chester Marcol kick),7,0
1,1.0,Packers,Willard Harrell 75 yard punt return (Chester Marcol kick),14,0
2,2.0,Packers,Ken Payne 15 yard pass from Lynn Dickey (Chester Marcol kick),21,0
3,2.0,Packers,Chester Marcol 19 yard field goal,24,0
4,3.0,Saints,Chuck Muncie 3 yard rush (Rich Szaro kick),24,7
5,3.0,Saints,Chuck Muncie 3 yard rush (Rich Szaro kick),24,14
6,4.0,Saints,Henry Childs 59 yard pass from Archie Manning,24,20
