,Quarter,Tm,Detail,NWE,MIA
0,2.0,Patriots,Jason Staurovsky 41 yard field goal,3,0
1,2.0,Dolphins,Pete Stoyanovich 47 yard field goal,3,3
2,2.0,Dolphins,Mark Higgs 19 yard blocked punt return (Pete Stoyanovich kick),3,10
3,3.0,Dolphins,Sammie Smith 2 yard rush (Pete Stoyanovich kick),3,17
4,4.0,Patriots,George Adams 4 yard pass from Marc Wilson (Jason Staurovsky kick),10,17
