,Quarter,Time,Tm,Detail,TEN,DAL
0,1.0,,Oilers,Erik Norgard 2 yard pass from Steve McNair (Al Del Greco kick),7,0
1,1.0,,Oilers,Steve McNair 1 yard rush (Al Del Greco kick),14,0
2,2.0,,Cowboys,Michael Irvin 19 yard pass from Troy Aikman (Richie Cunningham kick),14,7
3,2.0,,Oilers,Al Del Greco 29 yard field goal,17,7
4,2.0,1:45,Oilers,Marcus Robertson 42 yard defensive fumble return (Al Del Greco kick),24,7
5,3.0,1:45,Cowboys,Michael Irvin 37 yard pass from Troy Aikman (Richie Cunningham kick),24,14
6,4.0,1:45,Oilers,Al Del Greco 19 yard field goal,27,14
