,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Jimmy Johnson 46 yard pass from John Brodie (Tommy Davis kick),7,0
1,1.0,Vikings,Jim Christopherson 27 yard field goal,7,3
2,2.0,Vikings,Mel Triplett 3 yard pass from Fran Tarkenton (Jim Christopherson kick),7,10
3,3.0,49ers,Bernie Casey 20 yard pass from John Brodie (Tommy Davis kick),14,10
4,3.0,Vikings,"Safety, Smith tackled in end zone by Hawkins",14,12
5,4.0,49ers,Bernie Casey 48 yard pass from John Brodie (Tommy Davis kick),21,12
6,4.0,49ers,Bernie Casey 40 yard pass from John Brodie (Tommy Davis kick),28,12
7,4.0,49ers,J.D. Smith 17 yard rush (Tommy Davis kick),35,12
