,Quarter,Tm,Detail,BUF,WAS
0,1.0,Bills,Alvin Wyatt 49 yard interception return (John Leypoldt kick),7,0
1,1.0,Bills,John Leypoldt 23 yard field goal,10,0
2,2.0,Redskins,Herb Mul-Key 8 yard rush (Curt Knight kick),10,7
3,3.0,Redskins,Bob Brunet 2 yard rush (Curt Knight kick),10,14
4,3.0,Redskins,Curt Knight 35 yard field goal,10,17
5,4.0,Bills,O.J. Simpson 21 yard rush (John Leypoldt kick),17,17
6,4.0,Bills,Jim Braxton 4 yard rush (John Leypoldt kick),24,17
