,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Bill McClard 28 yard field goal,0,3
1,2.0,Saints,Bob Newland 79 yard pass from Archie Manning (Bill McClard kick),0,10
2,2.0,Saints,Bill McClard 51 yard field goal,0,13
3,3.0,Saints,Joel Parker 17 yard pass from Archie Manning (Bill McClard kick),0,20
4,4.0,Rams,Bob Klein 15 yard pass from James Harris (David Ray kick),7,20
