,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Roger LeClerc 42 yard field goal,0,3
1,1.0,Bears,Joe Fortunato 24 yard defensive fumble return (Roger LeClerc kick),0,10
2,2.0,Colts,Lou Michaels 13 yard field goal,3,10
3,3.0,Bears,Gale Sayers 30 yard rush (Roger LeClerc kick),3,17
4,3.0,Bears,Roger LeClerc 27 yard field goal,3,20
5,3.0,Colts,Bobby Boyd 37 yard interception return (Lou Michaels kick),10,20
6,4.0,Bears,Gale Sayers 7 yard rush (Roger LeClerc kick),10,27
7,4.0,Colts,John Mackey 79 yard pass from Johnny Unitas (Lou Michaels kick),17,27
