,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Billy Sims 2 yard rush (Eddie Murray kick),0,7
1,1.0,49ers,Carl Monroe 5 yard pass from Joe Montana (Ray Wersching kick),7,7
2,2.0,Lions,Eddie Murray 39 yard field goal,7,10
3,2.0,49ers,Wendell Tyler 2 yard rush (Ray Wersching kick),14,10
4,2.0,Lions,Eddie Murray 43 yard field goal,14,13
5,3.0,Lions,James Jones 2 yard pass from Gary Danielson (Eddie Murray kick),14,20
6,3.0,49ers,Ray Wersching 42 yard field goal,17,20
7,4.0,49ers,Ray Wersching 53 yard field goal,20,20
8,4.0,49ers,Wendell Tyler 9 yard rush (Ray Wersching kick),27,20
9,4.0,Lions,Leonard Thompson 49 yard pass from Gary Danielson (Eddie Murray kick),27,27
10,4.0,49ers,Ray Wersching 22 yard field goal,30,27
