,Quarter,Tm,Detail,GNB,CHI
0,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),0,7
1,2.0,Bears,Walter Payton 3 yard rush (Bob Thomas kick),0,14
2,2.0,Bears,Roland Harper 1 yard rush (Bob Thomas kick),0,21
3,2.0,Packers,James Lofton 15 yard pass from Lynn Dickey (Jan Stenerud kick),7,21
4,2.0,Bears,Brian Baschnagel 4 yard pass from Vince Evans (Bob Thomas kick),7,28
5,3.0,Bears,Robin Earl 9 yard pass from Vince Evans,7,34
6,3.0,Bears,Rickey Watts 53 yard pass from Vince Evans (Bob Thomas kick),7,41
7,4.0,Bears,Walter Payton 14 yard rush (Bob Thomas kick),7,48
8,4.0,Bears,Len Walterscheid 36 yard interception return (Bob Thomas kick),7,55
9,4.0,Bears,Willie McClendon 1 yard rush,7,61
