,Quarter,Tm,Detail,NOR,SEA
0,1.0,Saints,Archie Manning 4 yard rush (Garo Yepremian kick),7,0
1,1.0,Seahawks,Sam McCullum 51 yard pass from Jim Zorn (Efren Herrera kick),7,7
2,2.0,Seahawks,Efren Herrera 27 yard field goal,7,10
3,2.0,Seahawks,Steve Largent 39 yard pass from Jim Zorn (Efren Herrera kick),7,17
4,2.0,Saints,Wes Chandler 4 yard pass from Archie Manning (Garo Yepremian kick),14,17
5,2.0,Seahawks,Dan Doornink 2 yard rush (Efren Herrera kick),14,24
6,3.0,Saints,Garo Yepremian 40 yard field goal,17,24
7,4.0,Saints,Chuck Muncie 1 yard rush (Garo Yepremian kick),24,24
8,4.0,Seahawks,Steve Largent 35 yard pass from Jim Zorn (Efren Herrera kick),24,31
9,4.0,Seahawks,Brian Peets 5 yard pass from Jim Zorn (Efren Herrera kick),24,38
