,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cowboys,Emmitt Smith 60 yard rush (Ken Willis kick),7,0
1,1.0,Cowboys,Emmitt Smith 12 yard rush (Ken Willis kick),14,0
2,2.0,Cardinals,Greg Davis 32 yard field goal,14,3
3,2.0,Cardinals,Greg Davis 32 yard field goal,14,6
4,4.0,Cardinals,Greg Davis 29 yard field goal,14,9
5,4.0,Cowboys,Ken Willis 41 yard field goal,17,9
