,Quarter,Time,Tm,Detail,BUF,TAM
0,1.0,14:42,Buccaneers,Bobby Rainey 80 yard rush (Rian Lindell kick),0,7
1,1.0,8:07,Bills,Dan Carpenter 40 yard field goal,3,7
2,1.0,2:34,Buccaneers,Vincent Jackson 38 yard pass from Mike Glennon (Rian Lindell kick),3,14
3,2.0,10:45,Buccaneers,Rian Lindell 53 yard field goal,3,17
4,2.0,0:15,Buccaneers,Tim Wright 5 yard pass from Mike Glennon (Rian Lindell kick),3,24
5,3.0,10:19,Bills,Dan Carpenter 46 yard field goal,6,24
6,3.0,0:07,Buccaneers,Rian Lindell 32 yard field goal,6,27
