,Quarter,Time,Tm,Detail,DET,NWE
0,1.0,11:44,Lions,Matt Prater 48 yard field goal,3,0
1,1.0,3:10,Patriots,Tim Wright 4 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2,2.0,13:37,Lions,Matt Prater 20 yard field goal,6,7
3,2.0,12:43,Patriots,LeGarrette Blount 3 yard rush (Stephen Gostkowski kick),6,14
4,2.0,2:42,Patriots,Tim Wright 8 yard pass from Tom Brady (Stephen Gostkowski kick),6,21
5,2.0,0:00,Patriots,Stephen Gostkowski 35 yard field goal,6,24
6,3.0,5:05,Patriots,Stephen Gostkowski 43 yard field goal,6,27
7,4.0,14:48,Lions,Matt Prater 49 yard field goal,9,27
8,4.0,1:53,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),9,34
