,Quarter,Tm,Detail,CLE,KAN
0,1.0,Chiefs,Jan Stenerud 14 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 27 yard field goal,0,6
2,2.0,Chiefs,Wendell Hayes 26 yard pass from Len Dawson (Jan Stenerud kick),0,13
3,4.0,Browns,Milt Morin 18 yard pass from Bill Nelsen (Don Cockroft kick),7,13
