,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,John Jefferson 13 yard pass from Dan Fouts (Don Woods kick),7,0
1,1.0,Chargers,Mike Wood 31 yard field goal,10,0
2,3.0,Chargers,Mike Wood 26 yard field goal,13,0
3,4.0,Chiefs,Steve Fuller 18 yard rush (Jan Stenerud kick),13,7
4,4.0,Chargers,Clarence Williams 5 yard rush (Mike Wood kick),20,7
5,4.0,Chiefs,J.T. Smith 24 yard pass from Steve Fuller (Jan Stenerud kick),20,14
