,Quarter,Tm,Detail,KAN,PIT
0,1.0,Chiefs,Jan Stenerud 25 yard field goal,3,0
1,1.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),3,7
2,2.0,Steelers,Franco Harris 11 yard rush (Roy Gerela kick),3,14
3,2.0,Steelers,John Stallworth 23 yard pass from Terry Bradshaw,3,20
4,3.0,Chiefs,Ted McKnight 14 yard rush (Jan Stenerud kick),10,20
5,3.0,Chiefs,Tony Reed 16 yard rush (Jan Stenerud kick),17,20
6,3.0,Steelers,Donnie Shell 17 yard defensive fumble return (Roy Gerela kick),17,27
7,4.0,Chiefs,Arnold Morgado 2 yard rush (Jan Stenerud kick),24,27
