,Quarter,Tm,Detail,PIT,KAN
0,1.0,Chiefs,Bill Maas 6 yard defensive fumble return (Nick Lowery kick),0,7
1,2.0,Steelers,Rodney Carter 4 yard pass from Mark Malone (Gary Anderson kick),7,7
2,2.0,Chiefs,Nick Lowery 41 yard field goal,7,10
3,3.0,Steelers,Rodney Carter 26 yard pass from Mark Malone (Gary Anderson kick),14,10
4,4.0,Chiefs,Nick Lowery 27 yard field goal,14,13
5,4.0,Chiefs,Nick Lowery 38 yard field goal,14,16
6,4.0,Steelers,Gary Anderson 44 yard field goal,17,16
