,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Neal Anderson 8 yard pass from Jim Harbaugh (Kevin Butler kick),0,7
1,1.0,Giants,Howard Cross 15 yard pass from Phil Simms (Matt Bahr kick),7,7
2,2.0,Bears,Brad Muster 44 yard pass from Jim Harbaugh (Kevin Butler kick),7,14
3,2.0,Giants,Rodney Hampton 1 yard rush (Matt Bahr kick),14,14
4,3.0,Giants,Stephen Baker 13 yard pass from Phil Simms (Matt Bahr kick),21,14
5,3.0,Giants,Matt Bahr 31 yard field goal,24,14
6,4.0,Giants,Matt Bahr 32 yard field goal,27,14
