,Quarter,Tm,Detail,PHI,DET
0,2.0,Lions,Ernie Caddel 49 yard rush (Dutch Clark kick),0,7
1,2.0,Lions,Dutch Clark 4 yard rush (Dutch Clark kick),0,14
2,4.0,Lions,Ernie Caddel 13 yard rush (Dutch Clark kick),0,21
3,4.0,Lions,Ernie Caddel 35 yard rush (Dutch Clark kick),0,28
4,4.0,Lions,Frank Christensen 5 yard pass from Pug Vaughan (Glenn Presnell kick),0,35
