,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,9:14,Cardinals,DeAndre Hopkins 4 yard pass from Kyler Murray (Zane Gonzalez kick),0,7
1,1.0,0:01,Cardinals,Kyler Murray 14 yard rush (Zane Gonzalez kick),0,14
2,2.0,11:35,Cardinals,Zane Gonzalez 49 yard field goal,0,17
3,2.0,1:53,Cardinals,Zane Gonzalez 33 yard field goal,0,20
4,3.0,3:17,Washington,Dustin Hopkins 24 yard field goal,3,20
5,4.0,14:24,Cardinals,Kyler Murray 21 yard rush (Zane Gonzalez kick),3,27
6,4.0,12:26,Washington,Terry McLaurin 24 yard pass from Dwayne Haskins (run failed),9,27
7,4.0,6:44,Washington,Antonio Gibson 11 yard rush (pass failed),15,27
8,4.0,0:30,Cardinals,Zane Gonzalez 28 yard field goal,15,30
