,Quarter,Tm,Detail,PHO,DAL
0,1.0,Cardinals,Al Del Greco 38 yard field goal,3,0
1,1.0,Cowboys,Emmitt Smith 1 yard rush,3,6
2,1.0,Cowboys,Emmitt Smith 11 yard rush (Ken Willis kick),3,13
3,2.0,Cowboys,Michael Irvin 8 yard pass from Troy Aikman (Ken Willis kick),3,20
4,3.0,Cowboys,Emmitt Smith 1 yard rush (Ken Willis kick),3,27
5,4.0,Cowboys,Emmitt Smith 6 yard rush (Ken Willis kick),3,34
6,4.0,Cardinals,Johnny Johnson 1 yard rush (Al Del Greco kick),10,34
7,4.0,Cowboys,Daryl Johnston 6 yard rush (Ken Willis kick),10,41
