,Quarter,Tm,Detail,WAS,NOR
0,1.0,Redskins,Ray McDonald 1 yard rush,6,0
1,1.0,Saints,Charlie Durkee 27 yard field goal,6,3
2,2.0,Saints,Walter Roberts 36 yard pass from Billy Kilmer (Charlie Durkee kick),6,10
3,2.0,Redskins,Ray McDonald 36 yard rush (John Love kick),13,10
4,2.0,Redskins,Charley Taylor 40 yard pass from Sonny Jurgensen (John Love kick),20,10
5,4.0,Redskins,Ray McDonald 15 yard rush (John Love kick),27,10
6,4.0,Redskins,John Love 37 yard field goal,30,10
