,Quarter,Time,Tm,Detail,CAR,DAL
0,1.0,,Panthers,John Kasay 34 yard field goal,3,0
1,2.0,,Panthers,Rae Carruth 15 yard pass from Kerry Collins (John Kasay kick),10,0
2,2.0,,Cowboys,Richie Cunningham 43 yard field goal,10,3
3,2.0,,Cowboys,Richie Cunningham 32 yard field goal,10,6
4,3.0,,Panthers,Scott Greene 1 yard pass from Kerry Collins (John Kasay kick),17,6
5,4.0,,Panthers,John Kasay 40 yard field goal,20,6
6,4.0,,Cowboys,Michael Irvin 52 yard pass from Troy Aikman (Richie Cunningham kick),20,13
7,4.0,,Panthers,John Kasay 18 yard field goal,23,13
