,Quarter,Tm,Detail,CLE,SEA
0,1.0,Browns,Mike Pruitt 3 yard rush (Matt Bahr kick),7,0
1,2.0,Browns,Charles White 18 yard rush (Matt Bahr kick),14,0
2,2.0,Browns,Mike Pruitt 2 yard rush (Matt Bahr kick),21,0
3,3.0,Seahawks,Horace Ivory 2 yard rush (Norm Johnson kick),21,7
