,Quarter,Time,Tm,Detail,BAL,CHI
0,1.0,,Bears,Jeff Jaeger 20 yard field goal,0,3
1,2.0,,Bears,James Allen 1 yard rush (Jeff Jaeger kick),0,10
2,2.0,,Bears,Curtis Conway 16 yard pass from Steve Stenstrom (Jeff Jaeger kick),0,17
3,2.0,0:09,Bears,Robert Chancey 4 yard rush (Jeff Jaeger kick),0,24
4,3.0,0:09,Ravens,Matt Stover 27 yard field goal,3,24
