,Quarter,Tm,Detail,GNB,CHI
0,2.0,Packers,Paul Hornung 21 yard field goal,3,0
1,2.0,Packers,Willie Davis special teams fumble recovery in end zone (Paul Hornung kick),10,0
2,2.0,Bears,Willard Dewveall 19 yard pass from Ed Brown,10,6
3,2.0,Packers,Paul Hornung 41 yard field goal,13,6
4,3.0,Packers,Paul Hornung 17 yard pass from Bart Starr (Paul Hornung kick),20,6
5,3.0,Packers,Jim Taylor 2 yard rush (Paul Hornung kick),27,6
6,3.0,Bears,Jim Dooley 20 yard pass from Zeke Bratkowski (John Aveni kick),27,13
7,4.0,Packers,Paul Hornung 10 yard rush (Paul Hornung kick),34,13
8,4.0,Packers,Max McGee 46 yard pass from Bart Starr (Paul Hornung kick),41,13
