,Quarter,Time,Tm,Detail,DAL,CIN
0,1.0,4:06,Bengals,Shayne Graham 35 yard field goal,0,3
1,2.0,13:02,Bengals,Shayne Graham 47 yard field goal,0,6
2,2.0,9:57,Bengals,Shayne Graham 45 yard field goal,0,9
3,2.0,0:18,Cowboys,Billy Cundiff 24 yard field goal,3,9
4,3.0,9:36,Bengals,Matt Schobel 76 yard pass from Carson Palmer (Shayne Graham kick),3,16
5,4.0,12:21,Bengals,Shayne Graham 30 yard field goal,3,19
6,4.0,2:20,Bengals,Carson Palmer 2 yard rush (Shayne Graham kick),3,26
