,Quarter,Time,Tm,Detail,CAR,ARI
0,1.0,7:27,Panthers,Graham Gano 22 yard field goal,3,0
1,2.0,8:29,Cardinals,Jay Feely 42 yard field goal,3,3
2,2.0,0:00,Panthers,Graham Gano 51 yard field goal,6,3
3,3.0,5:48,Cardinals,Rashard Mendenhall 1 yard rush (Jay Feely kick),6,10
4,3.0,5:28,Cardinals,"Safety, Cam Newton sacked in the endzone by Calais Campbell.",6,12
5,4.0,3:38,Cardinals,Jay Feely 50 yard field goal,6,15
6,4.0,2:23,Cardinals,Jim Dray 7 yard pass from Carson Palmer (Jay Feely kick),6,22
