,Quarter,Time,Tm,Detail,BAL,MIA
0,1.0,4:55,Dolphins,Olindo Mare 42 yard field goal,0,3
1,2.0,12:37,Dolphins,Olindo Mare 41 yard field goal,0,6
2,3.0,11:47,Dolphins,Lamar Smith 7 yard rush (Olindo Mare kick),0,13
3,3.0,3:13,Ravens,Matt Stover 27 yard field goal,3,13
4,4.0,13:15,Dolphins,Lamar Smith 8 yard pass from Jay Fiedler (Olindo Mare kick failed),3,19
5,4.0,9:35,Ravens,Matt Stover 33 yard field goal,6,19
