,Quarter,Tm,Detail,COL,PRV
0,2.0,Steam Roller,Curly Oden unknown yard rush (Jack Keefer kick),0,7
1,3.0,Steam Roller,Curly Oden 78 yard punt return,0,13
2,3.0,Steam Roller,Jack Keefer 25 yard rush,0,19
