,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Mike Cofer 31 yard field goal,0,3
1,2.0,49ers,Jerry Rice 12 yard pass from Joe Montana (Mike Cofer kick),0,10
2,2.0,Redskins,Chip Lohmiller 37 yard field goal,3,10
3,2.0,49ers,John Taylor 49 yard pass from Joe Montana (Mike Cofer kick),3,17
4,2.0,Redskins,Art Monk 35 yard pass from Mark Rypien (Chip Lohmiller kick),10,17
5,2.0,49ers,Mike Cofer 30 yard field goal,10,20
6,3.0,Redskins,Chip Lohmiller 20 yard field goal,13,20
7,3.0,49ers,Mike Cofer 26 yard field goal,13,23
8,4.0,49ers,Mike Cofer 34 yard field goal,13,26
