,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Paul Warfield 12 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,1.0,Browns,Don Cockroft 28 yard field goal,0,10
2,2.0,Eagles,Sam Baker 18 yard field goal,3,10
3,2.0,Eagles,Sam Baker 25 yard field goal,6,10
4,2.0,Browns,Paul Warfield 34 yard pass from Leroy Kelly (Don Cockroft kick),6,17
5,2.0,Browns,Don Cockroft 26 yard field goal,6,20
6,3.0,Browns,Leroy Kelly 36 yard rush (Don Cockroft kick),6,27
7,3.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),6,34
8,4.0,Browns,Reece Morrison 1 yard rush,6,40
9,4.0,Browns,Reece Morrison 29 yard pass from Frank Ryan (Don Cockroft kick),6,47
10,4.0,Eagles,Fred Hill 7 yard pass from Norm Snead (Sam Baker kick),13,47
