,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Billy Wilson 12 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,2.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),7,7
2,2.0,Packers,Len Szafaryn 28 yard blocked punt return (Fred Cone kick),14,7
3,2.0,Packers,Breezy Reid 1 yard rush (Fred Cone kick),21,7
4,3.0,Packers,Breezy Reid 60 yard pass from Tobin Rote (Fred Cone kick),28,7
