,Quarter,Tm,Detail,DAL,GNB
0,1.0,Cowboys,Toni Fritsch 46 yard field goal,3,0
1,1.0,Packers,Chester Marcol 44 yard field goal,3,3
2,2.0,Packers,John Brockington 2 yard rush (Chester Marcol kick),3,10
3,2.0,Cowboys,Toni Fritsch 9 yard field goal,6,10
4,3.0,Cowboys,Walt Garrison 10 yard rush (Toni Fritsch kick),13,10
5,3.0,Packers,Chester Marcol 26 yard field goal,13,13
6,4.0,Packers,Chester Marcol 22 yard field goal,13,16
