,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Hugh McElhenny 9 yard rush,6,0
1,2.0,Bears,Harlon Hill 12 yard pass from Ed Brown (George Blanda kick),6,7
2,3.0,Bears,Willie Galimore 23 yard rush (George Blanda kick),6,14
3,4.0,Bears,Harlon Hill 13 yard pass from Rick Casares (George Blanda kick),6,21
4,4.0,Bears,Johnny Morris 7 yard rush (George Blanda kick),6,28
