,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Mike Mercer 27 yard field goal,0,3
1,2.0,Chargers,Willie Frazier 5 yard pass from John Hadl (Mike Mercer kick),0,10
2,2.0,Chiefs,Gloster Richardson 61 yard pass from Len Dawson (Jan Stenerud kick),7,10
3,2.0,Chargers,Mike Garrett 5 yard rush (Mike Mercer kick),7,17
4,2.0,Chiefs,Jan Stenerud 37 yard field goal,10,17
5,3.0,Chiefs,Jan Stenerud 10 yard field goal,13,17
6,3.0,Chargers,Willie Frazier 3 yard pass from John Hadl (Mike Mercer kick),13,24
7,4.0,Chargers,Mike Garrett 44 yard pass from John Hadl (Mike Mercer kick),13,31
