,Quarter,Time,Tm,Detail,BUF,TEN
0,1.0,12:50,Titans,A.J. Brown 16 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
1,1.0,6:06,Bills,Isaiah McKenzie 3 yard pass from Josh Allen (Tyler Bass kick),7,7
2,2.0,13:57,Titans,Derrick Henry 1 yard rush (Stephen Gostkowski kick),7,14
3,2.0,8:38,Bills,Tyler Bass 43 yard field goal,10,14
4,2.0,0:22,Titans,Ryan Tannehill 10 yard rush (Stephen Gostkowski kick),10,21
5,3.0,1:52,Titans,Jonnu Smith 4 yard pass from Ryan Tannehill (Stephen Gostkowski kick),10,28
6,4.0,10:09,Bills,T.J. Yeldon 22 yard pass from Josh Allen (pass failed),16,28
7,4.0,4:02,Titans,Derrick Henry 9 yard rush (Stephen Gostkowski kick),16,35
8,4.0,2:05,Titans,Jonnu Smith 7 yard pass from Ryan Tannehill (Stephen Gostkowski kick),16,42
