,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,5:49,Broncos,Mike Anderson 62 yard rush (Jason Elam kick),0,7
1,2.0,10:54,Chiefs,Todd Peterson 23 yard field goal,3,7
2,2.0,5:05,Broncos,Jason Elam 48 yard field goal,3,10
3,2.0,1:18,Chiefs,Todd Peterson 35 yard field goal,6,10
4,3.0,3:04,Broncos,Jason Elam 24 yard field goal,6,13
5,4.0,8:11,Broncos,Rod Smith 4 yard pass from Brian Griese (Jason Elam kick),6,20
