,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Dale Burnett 11 yard pass from Ed Danowski (Tillie Manton kick),0,7
1,2.0,Giants,Tony Sarausky 35 yard field goal,0,10
2,3.0,Dodgers,Ralph Kercheval 50 yard field goal,3,10
3,3.0,Dodgers,Ralph Kercheval 12 yard rush (Ralph Kercheval kick),10,10
